,open,close,high,low,volume
2014-01-02,23.483163937538155,23.492273,23.519599276479283,23.200781179408526,31833300.0
2014-01-03,23.556036499888577,23.483164,23.592471838926613,23.319199964344456,27796700.0
2014-01-06,23.474053845799446,23.191672,23.492272881537506,23.182564759396577,28682300.0
2014-01-07,23.264546598284134,23.310091,23.43761787534193,23.200781338800667,19665100.0
2014-01-08,23.35563540210987,23.164346,23.41939883978191,23.04592727627424,29680500.0
2014-01-09,23.15523760155028,23.055037,23.27365450685964,23.000383534191364,20878000.0
2014-01-10,23.228108902150062,23.255437,23.546926083159967,23.228108902150062,30588800.0
2014-01-13,23.346526904780003,23.22811,23.674454074509804,23.15523749803922,40274500.0
2014-01-14,23.692671869105997,24.148125,24.18456033956526,23.592472180309315,74142900.0
2014-01-15,24.3394144021796,24.29387,24.703778728679033,24.23921653520322,58277700.0
2014-01-16,24.266541803994166,24.175453,24.357633340707107,23.984161774899707,48960800.0
2014-01-17,23.10058384011323,23.546927,23.556036973575512,23.00038323984526,111758900.0
2014-01-21,23.492273161394724,23.310091,23.501380402106644,23.018600999218446,42286400.0
2014-01-22,23.127909502286542,23.055037,23.264547265886378,22.90929290633318,48749900.0
2014-01-23,22.927510160664948,22.891073,23.000382660182353,22.681565474793686,40241000.0
2014-01-24,22.66334743989373,22.599584,22.945730209807103,22.581367696128645,34838700.0
2014-01-27,22.563148224237384,22.517602,22.763547602894317,22.462948534908918,32564900.0
2014-01-28,22.508491906362853,22.681565,22.818200022828716,22.38096594578313,32453800.0
2014-01-29,22.54493043962723,22.481167,22.736219847602634,22.435620775074273,27145700.0
2014-01-30,22.544930062651574,22.535821,22.67245602886738,22.353640657874735,24610100.0
2014-01-31,22.271658438548556,22.35364,22.453838775312192,22.226112215724847,28623300.0
2014-02-03,22.317203535816137,21.816206,22.326312598483817,21.761549802181385,52868200.0
2014-02-04,21.85264106339211,21.697787,21.89818728706075,21.479169498740553,50816300.0
